breed_id,breed_name,breed_image,breed_group,Selling Price,height,min_height_cm,max_height_cm,weight,min_weight_kg,max_weight_kg,adaptability_value,friendliness_value,trainability_value,health_and_grooming_needs_value,physical_needs_value,life_span,monthly_expences,min_monthly_ecxpences,max_monthly_expences,highlights
1,Basset Retriever,https://www.prodograw.com/wp-content/uploads/2023/04/basset-retriever.jpg,Mixed Breed Dogs,"LKR 50,000 - LKR 70,000",10 to 14 inches,25.4,35.56,40 to 70 pounds,18.14,31.75,3,4,4,3,4,10 to 12 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","Basset Retrievers are mixed breed dogs. They are not purebreds like their Basset Hound and Golden Retriever parents.The main colors that the coat of the Basset Retriever comes in are black, chocolate, golden, and white.When it comes down to a grooming routine, brushing the coat once a week should suffice.  When it comes down to a grooming routine, brushing the coat once a week should suffice. The Basset Retriever is not a dog known for heavy shedding. The main colors that the coat of the Basset Retriever comes in are black, chocolate, golden, and white. The Basset Retriever is an energetic and active dog who will require around an hour of exercise every day. Ideally, this will be in an area where the dog is able to run freely and socialize with other pooches. The Basset Retriever is usually a great fit with kids. Make sure to supervise playtime. When it comes to other household pets, the Basset Retriever's innate hunting instincts can result in it seeing cats and other small animals as prey to chase after. Strict boundaries must be set early on The Basset Retriever's foldedover ears will require special attention. Look out for signs of infection or dirt building up and make sure to clean them regularly."
2,Hamiltonstovare,https://www.purina.co.uk/sites/default/files/styles/square_medium_440x440/public/2022-07/Hamiltonstovare.jpg?itok=pD1PLlY0,Hound Dogs,"LKR 60,000 - LKR 80,000",19 to 24 inches,48.26,60.96,40 to 75 pounds,18.14,34.02,3,4,3,3,4,14 to 17 years,"LKR 15,000 - LKR 22,000","LKR 15,000.00","LKR 22,000.00","The Hamiltonstovare has mixed colors of tan on the head, around the ears, and on the legs. You might also spot black and white marks around the face, neck, and collar. Because the Hamiltonstovare is an energetic dog, they might be too boisterous for toddlers or smaller children. Though they wouldn't harm children, it would be best if they were playing with older children or teenagers who can handle their energy. Hamiltonstovares have a strong prey drive, as they were originally developed to hunt small game.ÿBefore you let them loose, you need to train your Hamiltonstovare to reliably return on your command, and you'll definitely need some way to enclose your yard, or they may wander. Hamiltonstovares have high energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. When it comes to other pets, the Hamiltonstovare has a strong prey drive and might not get along with hamsters, rabbits, or smaller animals. They're fairly easy to groom due to their short coats. A good brushing per week will most likely do."
3,Norwich Terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23078_norwich-terrier-460x290.jpg,Terrier Dogs,"LKR 40,000 - LKR 60,000",5 to 10 inches,12.7,25.4,10 to 12 pounds,4.54,5.44,4,5,4,3,5,10 to 14 years,"LKR 12,000 - LKR 18,000","LKR 12,000.00","LKR 18,000.00","The Norwich Terrier originated as a ratter on farms but moved up in the world to bolt foxes from their dens during hunts. Today, they?re amusing companions who serve double duty by keeping your home and yard free of rats and other vermin."
4,Cockalier,https://www.dogtime.com/assets/uploads/2019/10/cockalier-mixed-dog-breed-picture-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 65,000",12 to 15 inches,30.48,38.1,10 to 28 pounds,4.54,12.7,3,4,3,3,4,12 to 15 years,"LKR 14,000 - LKR 20,000","LKR 14,000.00","LKR 20,000.00","The Cockalier is renowned as being a mixed dog breed that's smart and eager to please, so there usually aren't any issues with socialization and training. These cute and adorable pups are naturally friendly and affectionate towards peopleand they do excellently around small children. Cockaliers are mixed breed dogs. They are not purebreds like their Cocker Spaniel and Cavalier King Charles Spaniel parents. The Cockalier's coat usually comes in a range of colors that include black, brown, red, and white. The coat is medium in length and usually described as being curly to the touch. While this is an energetic mixed breed, these dogs can adapt to apartment living so long as they get enough exercise. The Cockalier requires over an hour of exercise every day. Ideally, these sessions should be on the energetic side."
5,Tibetan Mastiff,https://www.dogtime.com/assets/uploads/2011/01/file_22952_tibetan-mastiff-460x290.jpg,Working Dogs,"LKR 150,000 - LKR 200,000",24 to 26 inches,60.96,66.04,75 to 160 pounds,34.02,72.57,3,4,3,3,3,10 to 14 years,"LKR 25,000 - LKR 35,000","LKR 25,000.00","LKR 35,000.00","This still-primitive Tibetan Mastiffÿdog breedÿwas developed centuries ago in Tibet. Originally used as guard dogs for livestock and property, Tibetan Mastiffs can still be found performing that role, but they also enjoy life as family companions and show dogs."
6,Puginese,https://dogtime.com/assets/uploads/2020/03/puginese-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 35,000 - LKR 50,000",6 to 14 inches,15.24,35.56,7 to 18 pounds,3.18,8.16,4,3,2,3,3,12 to 14 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","The Puginese is a mixed breed dog. They are not purebreds like their Pug or Pekingese parents. They are not a good choice for allergy sufferers, as they tend to shed a moderate amount, especially in the summertime. Their coats require weekly brushing. The Puginese is prone to weight gain as well as diabetes, and has medium energy levels. They have moderate exercise needs and do not require a lot of walks. Make sure your dog gets a short daily walk, weather permitting, and some indoor playtime mixed in as well. The Puginese is prone to being frightened by loud noises and stressed in hectic environments. They do best in smaller, calmer households and make wonderful pets for those with busy schedules, as they're independent little dogs. Puginese dogs aren't naturally fond of other animals and may prefer to be the solo pet in the household. The main colors of Puginese dogs are cream, brown, gray, black, or brindle. Sometimes their coats are solid, and sometimes they have a mix of colors. Some Puginese pups are difficult to train and are described by owners as not being the most intelligent mixed breed. Patience and early training are key. Puginese dogs prefer to be around adults or older kids who know how to play gently and aren't overly excited."
7,Corgi Inu,https://www.dogtime.com/assets/uploads/2019/08/corgi-inu-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 70,000 - LKR 90,000",9 to 15 inches,22.86,38.1,17 to 27 pounds,7.71,12.25,3,3,3,3,4,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Your Corgi Inu will definitely be a heavy shedder. Daily brushing is necessary for this very furry breed. Because of their fur, they are not ideal for people who suffer from dog allergies. Corgi Inusÿcan get along with other animals if they are introduced slowly and calmly, and early socialization will help this go smoothly. It's best if they get used to other pets early. However, if your dog is more Inu than Corgi, they may prefer to be the sole animal of the house. The main colors of Corgi Inus are red, black, blue, fawn, white, and sable. Sometimes their coats are solid, and sometimes they have a mix of colors, like a brindle or pied coat. Even though the Corgi Inu is not a large dog, the breed tends to have quite a lot of energy. Corgi Inus are usually fairly intelligent, as well, so if you do not make time to make sure they have plenty of mental and physical stimulation, they could try to push boundaries. The Corgi Inu tends to stick to a few favorite family members, but can be outgoing towards others if properly socialized and trained. Corgi Inus are mixed breed dogs. They are not purebreds like their Corgi or Shiba Inu parents."
8,German Shepherd Dog,https://www.dogtime.com/assets/uploads/2011/01/file_23188_german-shepherd-dog-300x189.jpg,Herding Dogs,"LKR 80,000 - LKR 100,000",22 to 26 inches,55.88,66.04,75 to 95 pounds,34.02,43.09,3,4,4,4,5,10 to 14 years,"LKR 20,000 - LKR 30,000","LKR 20,000.00","LKR 30,000.00","The German Shepherd Dog is one of America?s most popular dog breeds ? for good reasons. They?re intelligent and capable working dogs. Their devotion and courage are unmatched. And they?re amazingly versatile.The breed also goes by the name Alsatian. Despite their purebred status, you may find German Shepherds in shelters and breed specific rescues. So remember to adopt! Don?t shop if this is the breed for you."
9,Akbash,https://www.dogtime.com/assets/uploads/2019/12/akbash-dog-breed-pictures-cover.jpg,Working Dogs,"LKR 100,000 - LKR 120,000",27 to 34 inches,68.58,86.36,75 to 140 pounds,34.02,63.5,3,4,3,4,2,10 to 12 years,"LKR 22,000 - LKR 32,000","LKR 22,000.00","LKR 32,000.00","If they sense anything amiss, Akbashes will growl or bark at strangers, but they are not overly aggressive towards them. If you want a watchdog and guardian who will alert you to anyone who might approach your door, you can?t do much better than the Akbash. Akbashes can be socialized, but they aren?t naturally fond of other animals and may prefer to be the solo pet in the household. They shed moderately through the year and more heavily in summer, so a good brushing once or twice a week will help to remove dirt and old hair. The coat can be fairly easy to groom if you keep up with their needs. Because the Akbash is a large dog, they can easily handle the play of overly excited children. However, they're low energy dogs and might prefer to be around adults or older kids who know how to play gently. Because Akbashes are independent, they usually don't have any separation anxiety with their human counterparts. Make sure to give them some space, as they like to be on their own once and a while. Akbash coats are only white. These dogs were bred to protect livestock and sheep, with their white coats helping to blend in with the flock. Akbashes are prone to weight gain, especially with their low energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in."
10,Spanish Mastiff,https://www.dogtime.com/assets/uploads/2020/01/spanish-mastiff-dog-breed-pictures-cover.jpg,Working Dogs,"LKR 120,000 - LKR 150,000",26 to 35 inches,66.04,88.9,140 to 220 pounds,63.5,99.79,3,3,2,3,3,10 to 12 years,"LKR 25,000 - LKR 35,000","LKR 25,000.00","LKR 35,000.00","Spanish Mastiffs are prone to hip and joint issues, so make sure your pup maintains a healthy weight. These dogs tend to be fairly inactive while indoors but will need a slow paced walk once or twice a day and a large yard to roam around in to burn off extra energy. Spanish Mastiffs are very territorial by nature and will not typically enjoy the presence of another dog, and some may even express aggression towards cats and dogs in their home. They may be best off as solo pets in the household. Spanish Mastiff coats can come in a variety of colors. They can range from black to fawn, red, brindle, tricolored, or almost any mixture of those colors. Spanish Mastiffs are sturdy pups, and they love to play with children. The size of these dogs makes it very important to always supervise playtime with children because they can accidentally cause injury to a small child, but they are very protective of kids in their families. The Spanish Mastiff has an independent personality. While they're very intelligent, they will often do what they please. Obedience training can pose a challenge to those without strong personality types, and they do best with experienced dog owners. Spanish Mastiffsÿmake very little noise, but when they do, expect a deep and intimidating bark that will no doubt ward off any strangers, seeing as they are very skeptical of new people. Their coats shed, especially seasonally, and they're not considered allergyfriendly. The coat is not very difficult to care for and only requires a weekly brushing with an occasional bath."
